#Time       v(a)       v(b)       v(9)       v(8)      
 0.         0.         0.         20.73E-9   1.7321    
 1.E-9      0.         0.         20.706E-9  1.065     
 2.E-9      0.         0.         20.722E-9  1.6352    
 3.E-9      0.         0.         20.73E-9   1.671     
 4.E-9      0.         0.         20.73E-9   1.6895    
 5.E-9      0.         0.         20.73E-9   1.7012    
 6.E-9      0.         0.         20.73E-9   1.7096    
 7.E-9      0.         0.         20.73E-9   1.715     
 8.E-9      0.         0.         20.73E-9   1.7191    
 9.E-9      0.         0.         20.73E-9   1.7221    
 10.E-9     30.E-15    0.         20.73E-9   1.7243    
 11.E-9     1.8        0.         332.25E-6  0.072699  
 12.E-9     1.8        0.         1.8        199.32E-6 
 13.E-9     1.8        0.         1.8        28.386E-9 
 14.E-9     1.8        0.         1.8        20.58E-9  
 15.E-9     1.8        0.         1.8        20.596E-9 
 16.E-9     1.8        0.         1.8        20.703E-9 
 17.E-9     1.8        0.         1.8        20.725E-9 
 18.E-9     1.8        0.         1.8        20.729E-9 
 19.E-9     1.8        0.         1.8        20.73E-9  
 20.E-9     1.8        0.         1.8        20.73E-9  
 21.E-9     1.8        0.         1.8        20.73E-9  
 22.E-9     1.8        0.         1.8        20.73E-9  
 23.E-9     1.8        0.         1.8        20.73E-9  
 24.E-9     1.8        0.         1.8        20.73E-9  
 25.E-9     1.8        0.         1.8        20.73E-9  
 26.E-9     0.         0.         0.033736   21.456E-9 
 27.E-9     0.         0.         28.145E-9  37.143E-9 
 28.E-9     0.         0.         19.241E-9  930.76E-6 
 29.E-9     0.         0.         20.417E-9  0.0035718 
 30.E-9     0.         0.         20.679E-9  0.016242  
 31.E-9     0.         0.         20.727E-9  0.036432  
 32.E-9     0.         0.         20.73E-9   0.064476  
 33.E-9     0.         0.         20.73E-9   0.102     
 34.E-9     0.         0.         20.73E-9   0.16019   
 35.E-9     0.         0.         20.73E-9   0.94053   
 36.E-9     0.         0.         20.73E-9   1.6289    
 37.E-9     0.         0.         20.73E-9   1.6681    
 38.E-9     0.         0.         20.73E-9   1.6878    
 39.E-9     0.         0.         20.73E-9   1.7001    
 40.E-9     238.E-15   0.         20.73E-9   1.7089    
 41.E-9     1.8        0.         332.25E-6  0.062205  
 42.E-9     1.8        0.         1.8        168.76E-6 
 43.E-9     1.8        0.         1.8        27.924E-9 
 44.E-9     1.8        0.         1.8        20.585E-9 
 45.E-9     1.8        0.         1.8        20.6E-9   
 46.E-9     1.8        0.         1.8        20.704E-9 
 47.E-9     1.8        0.         1.8        20.725E-9 
 48.E-9     1.8        0.         1.8        20.729E-9 
 49.E-9     1.8        0.         1.8        20.73E-9  
 50.E-9     1.8        0.         1.8        20.73E-9  
 51.E-9     1.8        0.         1.8        20.73E-9  
 52.E-9     1.8        0.         1.8        20.73E-9  
 53.E-9     1.8        0.         1.8        20.73E-9  
 54.E-9     1.8        0.         1.8        20.73E-9  
 55.E-9     1.8        0.         1.8        20.73E-9  
 56.E-9     0.         0.         0.033419   21.465E-9 
 57.E-9     0.         0.         28.067E-9  37.162E-9 
 58.E-9     0.         0.         19.241E-9  942.85E-6 
 59.E-9     0.         0.         20.418E-9  0.0035792 
 60.E-9     0.         0.         20.679E-9  0.016266  
