            Gnucap                                      
#Time       v(a)       v(b)       v(9)       v(8)      
 0.         0.         0.         24.3E-9    1.7073    
 1.E-9      0.         0.         24.374E-9  1.6432    
 2.E-9      0.         0.         24.452E-9  1.6674    
 3.E-9      0.         0.         24.319E-9  1.6828    
 4.E-9      0.         0.         24.322E-9  1.6924    
 5.E-9      0.         0.         24.315E-9  1.6982    
 6.E-9      0.         0.         24.315E-9  1.7012    
 7.E-9      0.         0.         24.315E-9  1.7035    
 8.E-9      0.         0.         24.315E-9  1.7049    
 9.E-9      0.         0.         24.315E-9  1.7058    
 10.E-9     30.E-15    0.         24.315E-9  1.7064    
 11.E-9     1.8        0.         618.8E-6   0.13535   
 12.E-9     1.8        0.         1.7999     509.54E-6 
 13.E-9     1.8        0.         1.8        39.567E-9 
 14.E-9     1.8        0.         1.8        23.431E-9 
 15.E-9     1.8        0.         1.8        23.528E-9 
 16.E-9     1.8        0.         1.8        23.634E-9 
 17.E-9     1.8        0.         1.8        23.723E-9 
 18.E-9     1.8        0.         1.8        23.681E-9 
 19.E-9     1.8        0.         1.8        23.671E-9 
 20.E-9     1.8        0.         1.8        23.667E-9 
 21.E-9     1.8        0.         1.8        23.665E-9 
 22.E-9     1.8        0.         1.8        23.665E-9 
 23.E-9     1.8        0.         1.8        23.665E-9 
 24.E-9     1.8        0.         1.8        23.665E-9 
 25.E-9     1.8        0.         1.8        23.665E-9 
 26.E-9     0.         0.         0.032273   29.235E-9 
 27.E-9     0.         0.         32.337E-9  147.92E-9 
 28.E-9     0.         0.         22.423E-9  0.011813  
 29.E-9     0.         0.         24.063E-9  0.020107  
 30.E-9     0.         0.         24.368E-9  0.041987  
 31.E-9     0.         0.         24.409E-9  0.094393  
 32.E-9     0.         0.         24.319E-9  0.1645    
 33.E-9     0.         0.         24.319E-9  0.39958   
 34.E-9     0.         0.         24.315E-9  1.6057    
 35.E-9     0.         0.         24.315E-9  1.642     
 36.E-9     0.         0.         24.315E-9  1.6689    
 37.E-9     0.         0.         24.315E-9  1.6843    
 38.E-9     0.         0.         24.315E-9  1.6933    
 39.E-9     0.         0.         24.315E-9  1.6983    
 40.E-9     238.E-15   0.         24.315E-9  1.7016    
 41.E-9     1.8        0.         618.8E-6   0.13101   
 42.E-9     1.8        0.         1.7999     504.27E-6 
 43.E-9     1.8        0.         1.8        39.508E-9 
 44.E-9     1.8        0.         1.8        23.434E-9 
 45.E-9     1.8        0.         1.8        23.53E-9  
 46.E-9     1.8        0.         1.8        23.635E-9 
 47.E-9     1.8        0.         1.8        23.722E-9 
 48.E-9     1.8        0.         1.8        23.681E-9 
 49.E-9     1.8        0.         1.8        23.671E-9 
 50.E-9     1.8        0.         1.8        23.667E-9 
 51.E-9     1.8        0.         1.8        23.666E-9 
 52.E-9     1.8        0.         1.8        23.665E-9 
 53.E-9     1.8        0.         1.8        23.665E-9 
 54.E-9     1.8        0.         1.8        23.665E-9 
 55.E-9     1.8        0.         1.8        23.665E-9 
 56.E-9     0.         0.         0.032298   29.247E-9 
 57.E-9     0.         0.         32.335E-9  147.92E-9 
 58.E-9     0.         0.         22.424E-9  0.011819  
 59.E-9     0.         0.         24.063E-9  0.020108  
 60.E-9     0.         0.         24.368E-9  0.041988  
